GPIO,pin,DRIVINGSINK,PULLDOWN,DIRECTION,OUTPUT
,GPIO_0_0,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_1,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_2,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_3,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_4,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_5,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_6,PAD_DRIVINGSINK_8MA,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,GPIO_0_7,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_8,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_9,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_10,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_11,PAD_DRIVINGSINK_8MA,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,GPIO_0_12,PAD_DRIVINGSINK_4MA,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,GPIO_0_13,PAD_DRIVINGSINK_4MA,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,GPIO_0_14,PAD_DRIVINGSINK_4MA,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,GPIO_0_15,PAD_DRIVINGSINK_4MA,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,GPIO_0_16,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_17,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_18,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_19,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_20,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_21,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_22,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_23,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_24,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_25,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_26,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_27,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_28,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_29,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_30,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_0_31,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_0,PAD_DRIVINGSINK_4MA,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,GPIO_1_1,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_2,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_3,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_4,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_5,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_6,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_7,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_8,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_9,PAD_DRIVINGSINK_4MA,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,GPIO_1_10,PAD_DRIVINGSINK_4MA,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,GPIO_1_11,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_12,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_13,PAD_DRIVINGSINK_4MA,PAD_PULLUP,GPIO_DIR_INPUT,LOW
,GPIO_1_14,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_15,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_16,PAD_DRIVINGSINK_8MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_17,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
,GPIO_1_18,PAD_DRIVINGSINK_4MA,PAD_PULLDOWN,GPIO_DIR_INPUT,LOW
